Date, Open, High, Low, Close
02/15/22, 6830.74, 6983.14, 6823.45, 6979.97
02/14/22, 6868.07, 6875.31, 6757.33, 6852.20
02/11/22, 7025.50, 7071.01, 6992.09, 7011.60
02/10/22, 7141.69, 7169.63, 7051.60, 7101.55
02/09/22, 7086.34, 7146.31, 7086.34, 7130.88
02/08/22, 7008.20, 7085.64, 6994.15, 7028.41
02/07/22, 6987.17, 7025.59, 6929.71, 7009.25
02/04/22, 7049.80, 7066.44, 6914.77, 6951.38
02/03/22, 7115.30, 7125.58, 6995.41, 7005.63
02/02/22, 7117.45, 7150.54, 7109.30, 7115.27
02/01/22, 7052.30, 7105.23, 7035.91, 7099.49
01/31/22, 7039.71, 7043.22, 6937.10, 6999.20
01/28/22, 7043.43, 7053.00, 6846.22, 6965.88
01/27/22, 6879.64, 7053.45, 6873.60, 7023.80
01/26/22, 6901.74, 7024.14, 6901.74, 6981.96
01/25/22, 6870.27, 6890.54, 6776.80, 6837.96
01/24/22, 7014.84, 7070.92, 6754.24, 6787.79
01/21/22, 7088.44, 7122.06, 7013.49, 7068.59
01/20/22, 7190.02, 7199.97, 7123.62, 7194.16
01/19/22, 7104.11, 7211.24, 7104.11, 7172.98
01/18/22, 7172.43, 7175.46, 7098.19, 7133.83
01/17/22, 7167.53, 7213.70, 7148.98, 7201.64
01/14/22, 7132.59, 7171.40, 7119.01, 7143.00
01/13/22, 7215.48, 7227.35, 7166.94, 7201.14
01/12/22, 7235.47, 7249.88, 7183.38, 7237.19
01/11/22, 7185.21, 7227.71, 7160.44, 7183.38
01/10/22, 7245.21, 7250.24, 7105.55, 7115.77
01/07/22, 7250.79, 7269.65, 7178.18, 7219.48
01/06/22, 7264.00, 7316.06, 7240.88, 7249.66
01/05/22, 7320.48, 7384.86, 7313.53, 7376.37
01/04/22, 7273.57, 7332.21, 7250.24, 7317.41
01/03/22, 7197.40, 7245.66, 7195.82, 7217.22
12/31/21, 7153.66, 7163.73, 7139.60, 7153.03
12/30/21, 7167.53, 7189.84, 7156.79, 7173.23
12/29/21, 7179.11, 7201.65, 7137.35, 7161.52
12/28/21, 7141.85, 7187.76, 7141.67, 7181.11
12/27/21, 7070.14, 7149.14, 7062.40, 7140.39
12/24/21, 7091.60, 7116.88, 7086.58, 7086.58
12/23/21, 7071.93, 7119.87, 7049.92, 7106.15
12/22/21, 6982.53, 7051.67, 6963.71, 7051.67
12/21/21, 6935.66, 6967.93, 6888.52, 6964.99
12/20/21, 6783.83, 6872.75, 6747.69, 6870.10
12/17/21, 6982.07, 7011.61, 6884.91, 6926.63
12/16/21, 7054.92, 7054.92, 6987.95, 7005.07
12/15/21, 6923.52, 6949.92, 6904.94, 6927.63
12/14/21, 6978.77, 6993.30, 6891.34, 6895.31
12/13/21, 7004.76, 7029.38, 6929.13, 6942.91
12/10/21, 6960.39, 7025.88, 6960.39, 6991.68
12/09/21, 7035.93, 7044.99, 6983.33, 7008.23
12/08/21, 7064.12, 7104.06, 7014.57, 7014.57
12/07/21, 6934.68, 7066.95, 6934.68, 7065.39
12/06/21, 6810.93, 6888.07, 6776.17, 6865.78
12/03/21, 6860.73, 6872.79, 6730.63, 6765.52
12/02/21, 6794.77, 6850.37, 6762.74, 6795.75
12/01/21, 6774.80, 6902.46, 6750.65, 6881.87
11/30/21, 6679.03, 6780.88, 6655.86, 6721.16
11/29/21, 6831.41, 6841.79, 6760.31, 6776.25
11/26/21, 6814.90, 6861.15, 6725.08, 6739.73
11/25/21, 7067.61, 7079.49, 7047.86, 7075.87
11/24/21, 7052.18, 7089.11, 6983.98, 7042.23
11/23/21, 7064.38, 7112.49, 7002.56, 7044.62
11/22/21, 7130.24, 7143.60, 7087.67, 7105.00
11/19/21, 7172.72, 7183.08, 7068.43, 7112.29
11/18/21, 7155.05, 7181.55, 7136.86, 7141.98
11/17/21, 7149.30, 7167.80, 7147.01, 7156.85
11/16/21, 7146.37, 7164.27, 7136.30, 7152.60
11/15/21, 7090.96, 7136.13, 7088.71, 7128.63
11/12/21, 7062.54, 7097.46, 7056.93, 7091.40
11/11/21, 7038.84, 7072.63, 7032.35, 7059.55
11/10/21, 7046.17, 7053.27, 7014.94, 7045.16
11/09/21, 7023.58, 7079.58, 7016.73, 7043.27
11/08/21, 7041.60, 7067.10, 7037.67, 7047.48
11/05/21, 6983.80, 7063.40, 6983.80, 7040.79
11/04/21, 6977.62, 6993.01, 6962.01, 6987.79
11/03/21, 6919.47, 6955.10, 6917.75, 6950.65
11/02/21, 6883.06, 6933.35, 6879.69, 6927.03
11/01/21, 6870.28, 6908.65, 6859.44, 6893.29
10/29/21, 6778.79, 6830.34, 6748.53, 6830.34
10/28/21, 6750.78, 6804.22, 6750.78, 6804.22
10/27/21, 6755.63, 6771.19, 6731.86, 6753.52
10/26/21, 6723.06, 6775.82, 6711.21, 6766.51
10/25/21, 6752.98, 6752.98, 6707.32, 6712.87
10/22/21, 6720.92, 6765.46, 6716.15, 6733.69
10/21/21, 6673.14, 6699.21, 6658.95, 6686.17
